data_sheet,collection_datetime,experiment_datetime,collection_temp,collection_salinity,collection_ph,lab_temp,ramp_start_temp,water_bath,thermometer,tube,species,sex,ctmax,size,fecundity
3,2025-01-12 11:00:00,2025-01-13 16:17:00,2.3,33.85,8.4,3,3,1,5,1,Centropages hamatus,f,26.3,1.07,NA
3,2025-01-12 11:00:00,2025-01-13 16:17:00,2.3,33.85,8.4,3,3,1,5,2,Centropages hamatus,f,25.7,1.06,NA
3,2025-01-12 11:00:00,2025-01-13 16:17:00,2.3,33.85,8.4,3,3,1,5,3,Centropages typicus,f,24.5,1.29,16
3,2025-01-12 11:00:00,2025-01-13 16:17:00,2.3,33.85,8.4,3,3,1,5,4,Centropages typicus,m,26.3,1.09,NA
3,2025-01-12 11:00:00,2025-01-13 16:17:00,2.3,33.85,8.4,3,3,1,5,5,Tortanus discaudatus,m,26.7,1.2,NA
3,2025-01-12 11:00:00,2025-01-13 16:17:00,2.3,33.85,8.4,3,3,1,5,6,Tortanus discaudatus,m,25,1.17,NA
3,2025-01-12 11:00:00,2025-01-13 16:17:00,2.3,33.85,8.4,3,3,1,5,7,Centropages hamatus,f,26.4,1.13,NA
3,2025-01-12 11:00:00,2025-01-13 16:17:00,2.3,33.85,8.4,3,3,1,5,8,Paracalanus parvus,j,22.7,.96,NA
3,2025-01-12 11:00:00,2025-01-13 16:17:00,2.3,33.85,8.4,3,3,1,5,9,Pseudocalanus sp.,f,23.3,1.19,3
3,2025-01-12 11:00:00,2025-01-13 16:17:00,2.3,33.85,8.4,3,3,1,5,10,Pseudocalanus sp.,f,22.8,1,NA
3,2025-01-12 11:00:00,2025-01-13 16:17:00,2.3,33.85,8.4,3,3,1,5,11,NA,NA,NA,NA,NA
3,2025-01-12 11:00:00,2025-01-13 16:17:00,2.3,33.85,8.4,3,3,1,5,12,Tortanus discaudatus,f,24.8,1.39,NA
